,user_id,launch_cnt,PV,ad_show_cnt,duration
0,0,2,0,1,3056
1,1,2,0,4,0
2,2,2,0,3,0
3,3,5,15,5,312980
4,4,11,1,18,127880
5,5,2,0,5,0
6,6,2,0,1,20186
7,7,3,2,4,154288
8,8,5,1,16,156531
9,9,4,4,2,72475
10,10,6,0,7,45215
11,11,53,2,48,1044501
12,12,14,1,9,112784
13,13,2,0,14,0
14,14,2,0,9,0
15,15,57,4,6,417527
16,16,3,0,3,15086
17,17,2,0,1,0
18,18,2,0,1,0
19,19,6,1,6,158593
20,20,54,0,35,0
21,21,2,0,1,0
22,22,14,9,12,164186
23,23,3,0,6,21531
24,24,40,3,13,485988
25,25,2,1,4,7683
26,26,35,3,29,727777
27,27,2,0,8,0
28,28,3,4,1,17133
29,29,12,1,2,191220
30,30,3,0,12,152651
31,31,4,5,3,160599
32,32,33,0,6,229834
33,33,2,0,11,0
34,34,2,0,9,0
35,35,28,7,30,439414
36,36,2,0,4,0
37,37,9,1,2,34556
38,38,18,0,11,164434
39,39,14,0,19,597913
40,40,2,0,7,0
41,41,6,0,6,39952
42,42,2,0,8,0
43,43,4,1,3,111663
44,44,2,0,1,0
45,45,2,0,3,0
46,46,2,0,8,0
47,47,2,0,6,0
48,48,4,4,15,75943
49,49,25,0,3,141787
50,50,23,3,18,335337
51,51,57,23,104,5562054
52,52,6,8,7,141646
53,53,2,5,2,41860
54,54,2,0,6,0
55,55,2,0,8,0
56,56,39,0,3,95445
57,57,4,0,1,24600
58,58,26,0,1,13376
59,59,2,0,1,39860
60,60,2,0,1,0
61,61,2,0,1,0
62,62,5,0,16,243047
63,63,2,0,19,0
64,64,9,0,2,121897
65,65,3,12,7,210520
66,66,6,1,1,874
67,67,3,0,7,126568
68,68,3,0,7,220752
69,69,21,0,12,289070
70,70,147,4,53,1052613
71,71,2,0,1,0
72,72,99,4,31,486664
73,73,5,0,12,434927
74,74,2,0,8,0
75,75,5,0,2,14915
76,76,13,2,3,90551
77,77,5,0,6,0
78,78,20,1,6,224786
79,79,7,0,4,90664
80,80,2,0,1,0
81,81,2,0,3,0
82,82,2,0,1,228
83,83,2,0,1,0
84,84,2,0,10,0
85,85,7,2,97,8079248
86,86,9,4,7,283439
87,87,2,0,9,0
88,88,4,0,3,0
89,89,4,7,11,75079
90,90,2,3,3,22649
91,91,25,0,11,443566
92,92,12,0,88,2670615
93,93,3,0,5,124875
94,94,2,0,7,0
95,95,2,0,1,1579
96,96,2,0,1,98749
97,97,2,0,7,0
98,98,2,0,1,0
99,99,12,2,9,36323
100,100,20,2,15,246726
101,101,3,9,3,106532
102,102,4,4,5,305813
103,103,5,3,5,85481
104,104,2,0,1,71067
105,105,2,0,5,0
106,106,13,2,1,156769
107,107,2,0,8,0
108,108,3,0,5,57117
109,109,5,11,3,98044
110,110,31,2,12,356889
111,111,19,2,24,419163
112,112,11,0,11,98565
113,113,29,1,6,52021
114,114,5,0,10,136168
115,115,2,0,5,0
116,116,8,1,9,64329
117,117,20,3,9,241475
118,118,5,5,2,117042
119,119,4,9,4,83998
120,120,4,0,7,59382
121,121,2,0,14,0
122,122,2,0,4,0
123,123,21,1,7,209882
124,124,45,0,15,392464
125,125,28,3,33,600192
126,126,2,0,2,0
127,127,103,1,40,1627584
128,128,6,0,5,121617
129,129,25,1,6,153095
130,130,3,5,2,17201
131,131,2,0,8,0
132,132,2,0,12,0
133,133,16,2,16,479127
134,134,3,10,6,154137
135,135,2,0,10,0
136,136,4,6,10,185453
137,137,40,0,25,214501
138,138,2,0,4,0
139,139,9,2,7,240913
140,140,2,0,3,0
141,141,7,1,4,399485
142,142,3,0,12,34667
143,143,6,11,13,244733
144,144,6,0,5,209656
145,145,2,0,1,0
146,146,2,0,1,3420
147,147,2,0,3,0
148,148,15,2,15,323474
149,149,6,0,16,1257712
150,150,2,0,9,0
151,151,7,1,1,591178
152,152,3,3,14,117071
153,153,6,0,4,100904
154,154,2,17,5,187833
155,155,11,12,12,261638
156,156,3,0,9,232743
157,157,3,0,1,19032
158,158,5,1,2,23538
159,159,2,0,6,0
160,160,11,3,15,604532
161,161,4,13,5,140074
162,162,2,0,6,0
163,163,3,0,7,87093
164,164,2,0,5,0
165,165,7,4,5,226136
166,166,6,0,6,316137
167,167,2,11,9,125387
168,168,2,0,11,158068
169,169,2,0,10,0
170,170,13,0,5,64486
171,171,2,0,7,0
172,172,8,0,6,37134
173,173,2,0,3,52837
174,174,5,2,7,103095
175,175,4,0,2,34315
176,176,9,5,13,226688
177,177,2,0,1,0
178,178,15,6,6,194651
179,179,2,0,11,0
180,180,2,0,12,0
181,181,5,8,10,258814
182,182,2,0,16,506890
183,183,29,6,15,1154678
184,184,2,0,5,0
185,185,2,0,1,0
186,186,2,0,1,0
187,187,2,0,1,0
188,188,6,0,6,191664
189,189,19,0,5,193127
190,190,2,0,18,0
191,191,28,1,1,41442
192,192,2,0,8,0
193,193,2,0,10,0
194,194,45,6,4,408970
195,195,10,2,7,134372
196,196,2,0,8,0
197,197,93,2,54,2412576
198,198,3,0,4,66781
199,199,2,14,4,63209
200,200,4,0,9,174249
201,201,2,0,2,12129
202,202,2,0,6,0
203,203,2,6,2,43779
204,204,2,0,5,114449
205,205,6,0,9,33516
206,206,7,6,18,457684
207,207,7,8,16,546190
